name, latency, bram_util, dsp_util, ff_util, lut_util, uram_util
optimized_1.cpp, 0.020476170000000002, 9.0, 25.0, 69.0, 60.0, 0.0
optimized_2.cpp, 0.23552091, 4.0, 3.0, 61.0, 94.0, 0.0
optimized_3.cpp, 0.0204795, 14.0, 3.0, 62.0, 95.0, 0.0
optimized_4.cpp, 0.020476170000000002, 28.0, 4.0, 3.0, 4.0, 0.0
optimized_5.cpp, 0.02389941, 28.0, 0.0, 2.0, 37.0, 0.0
optimized_6.cpp, 0.02048616, 14.0, 25.0, 33.0, 29.0, 0.0
optimized_7.cpp, 0.12631356, 14.0, 12.0, 37.0, 28.0, 0.0
optimized_8.cpp, 0.0204795, 9.0, 18.0, 66.0, 47.0, 0.0
optimized_9.cpp, 0.12618369000000002, 9.0, 25.0, 62.0, 46.0, 0.0
optimized_10.cpp, 0.020476170000000002, 18.0, 13.0, 28.0, 18.0, 0.0
optimized_11.cpp, 0.020476170000000002, 23.0, 17.0, 10.0, 14.0, 0.0
optimized_12.cpp, 0.0204795, 14.0, 17.0, 46.0, 43.0, 0.0
optimized_13.cpp, 0.02048616, 19.0, 5.0, 23.0, 12.0, 0.0
optimized_14.cpp, 0.020476170000000002, 19.0, 10.0, 25.0, 14.0, 0.0
optimized_15.cpp, 0.020476170000000002, 23.0, 1.0, 27.0, 81.0, 0.0
optimized_16.cpp, 0.02048616, 9.0, 12.0, 63.0, 44.0, 0.0
optimized_17.cpp, 0.020476170000000002, 24.0, 9.0, 5.0, 9.0, 0.0
optimized_18.cpp, 0.020476170000000002, 23.0, 3.0, 26.0, 79.0, 0.0
optimized_19.cpp, 0.02048616, 14.0, 5.0, 59.0, 39.0, 0.0
optimized_20.cpp, 0.02048616, 19.0, 2.0, 28.0, 78.0, 0.0
optimized_21.cpp, 0.02048616, 24.0, 4.0, 39.0, 34.0, 0.0
optimized_22.cpp, 0.02048616, 18.0, 8.0, 26.0, 15.0, 0.0
optimized_23.cpp, 0.12629691, 14.0, 3.0, 54.0, 94.0, 0.0
optimized_24.cpp, 0.02048616, 18.0, 2.0, 27.0, 79.0, 0.0
optimized_25.cpp, 0.02048616, 14.0, 12.0, 44.0, 39.0, 0.0
optimized_26.cpp, 0.02050281, 19.0, 4.0, 39.0, 35.0, 0.0
optimized_27.cpp, 0.12629691, 14.0, 2.0, 56.0, 94.0, 0.0
optimized_28.cpp, 0.020476170000000002, 14.0, 25.0, 33.0, 30.0, 0.0
optimized_29.cpp, 0.020476170000000002, 19.0, 9.0, 41.0, 39.0, 0.0
optimized_30.cpp, 0.0204795, 23.0, 2.0, 26.0, 79.0, 0.0
optimized_31.cpp, 0.12620034, 14.0, 17.0, 39.0, 31.0, 0.0
optimized_32.cpp, 0.020476170000000002, 28.0, 0.0, 3.0, 37.0, 0.0
optimized_33.cpp, 0.0204795, 19.0, 9.0, 41.0, 37.0, 0.0
optimized_34.cpp, 0.02048616, 23.0, 2.0, 25.0, 78.0, 0.0
optimized_35.cpp, 0.020476170000000002, 14.0, 17.0, 46.0, 45.0, 0.0
optimized_36.cpp, 0.12629691, 9.0, 25.0, 62.0, 45.0, 0.0
optimized_37.cpp, 0.12618369000000002, 9.0, 25.0, 62.0, 46.0, 0.0
optimized_38.cpp, 0.020476170000000002, 14.0, 25.0, 33.0, 30.0, 0.0
optimized_39.cpp, 0.020476170000000002, 24.0, 9.0, 5.0, 9.0, 0.0
optimized_40.cpp, 0.12629691, 14.0, 2.0, 56.0, 94.0, 0.0
